Title,Keywords,Observation,Scoping,Needs Statement,State of Art,Solution,Solution Category,Literature,Acknowledgement 
Early Detection of Brain Metastases,brain metastases; PET,,Screening: aim to detect at least a month before MRI,Need a way to detect micro metastatic lesions in patients who underwent resection and/or radiotherapy so that we can employ early treatment and limit comorbidities,MRI can detect only when lesions are greater than 1 cm,"Positron Emission Tomography (PET); imaging molecules that will glow only when they hold on to cencer cells; key step: identify protiens that express on surface of cancer cells, design molecules that will bind to proteins of interest and the other half to glow compound; ",Technology of the Future,10.1093/noajnl/vdac033; 10.3390/cancers14174328;https://seer.cancer.gov/statfacts/html/common.html;  10.1227/01.neu.0000073546.61154.9a; 10.1186/s12967-016-1035-1; Preliminary study of New Gallium-68 Radiolabeled Peptide Targeting NRP-1 to detect,David Krist
Ezure,Epilepsy; siezure tracking,3.4 M Americans have active epilepsy; 1 in 26 have recurrent siezures; patients don’t remember their seizure episodes; 15.5Bn spent in treating each year; Providers use a trial and error algorithm to figure out the best anti epileptic drug that can prevent recurrant siezures; sleep deprivation and medicine non compliance are factors that trigger recurrance of siezures,screening; tracking ,Need a way to assess and track siezure risk factors in patients with diagnosed epilepsy in order to reduce siezure recurrance  ,"During Seizures:SeizAlarm, track it seizure log;snug safety; Pst Seizure: journaling simplified. Most of them require users to provide all the information to the app","Ezure: an app that can pull data from existing information such as sleep, lifestyle, heartrate, menstruation, nausea. App creates a prediction for seizures and suggest lifestyle changes. App requires patient input. App helps in monitoring memory as well. ",Data driven; app,https://practicalneurology.com/articles/2019-oct/epilepsy-memory;https://www.cdc.gov/epilepsy/communications/infographics/index.htm;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3200033/ https://www.cdc.gov/epilepsy/communiations/infographics/cdc-epilepsy-text.htm;https://www.researchgate.net/figure/Overview-of-antiepileptic-drug-treatment-response-ADR-Adverse-drug-reaction-AED_fig2_51728655,Ariana Barreau
Parkinson's Disease Cueing,"parkinson's disease; music therapy, cueing","Medications are effective in treating motor symptoms, it is progressive so patient conditions deteriorate. There are episodes of freezing, akinesia; Affects 1% of Americans over 60; $52b; 10 million globally. Pa",treatment,Need to improve treatment of Parkinson's disease in patients who experience akinesia as their medications fail to work to help them retain mobility,"Medications: Sinemet, Ropinirole, pramipexole. Therapy: physical, assistive devices, music","cueing: though frozen individuals may be able to move when dancing or cueing to a rhythm. Solution: PD rhythm app adjusts the tempo of their favourite music to help them with their gait. Also evaluates their gait. Compliance is a big issue with music therapy. How do we evaluate impact: walking speed, engagement, patient satisfaction.",Data driven; app,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.655121/full?fbclid=IwAR2lVMPKF8j7uPW09ooCcJ7oW17mvX3AHs9J20fuwxPmMI6XGBtw3xcj5Ek; https://www.nytimes.com/interactive/2021/06/23/well/parkinsons-letters.html;https://www.sciencedirect.com/science/article/pii/S1525861018305401; https://pubmed.ncbi.nlm.nih.gov/20629164/; https://content.iospress.com/articles/journal-of-parkinsons-disease/jpd202346; https://www.parkinson.org/understanding-parkinsons/statistics,Conor Bloomer
Determining Stroke Age by MRI,"Stroke, MR sequence, machine learning, image classification",Patient diagnosed with stroke; diagnosed with sizable ischemic stroke; last known normal 4 hrs ago; not a candidate for thrombolytic therapy; Alteplase could have helped if onset was known. After 4.5 hrs risk of hemorrhage increases. Some trials have used imaging. ,screening,Need to accurately indentify the age of stroke in emergency patients in order to provide more effective treatment.,Fast MR imaging sequence.,Machine learning tools on MRI and fast MR sequences. ML can capture subtle changes and determine stroke age.Formulating as a simple Image Classification problem. Incorporate in ED protocol. Needed: training dataset from EMRs,data driven; machine learning,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(14)605845/fulltext; https://www.j-stroke.org/journal/view.php?year=2014&vol=16&spage=131; https://www.nejm.org/doi/full/10.1056/nejmoa1804355; https://www.ahajournals.org/doi/10.1161/STROKEAHA.114.005305; https://thejns.org/focus/view/journals/neurosurg-focus/36/1/article-pE3.xml; https://svn.bmj.com/content/4/1/8; ,Nathaniel Brooke
Asynchronous Communication,communication; patient's concerns; ,Nursing staff not qualified on the risk for lumbar puncture; Patient anxious about LP; Patient's questions unanswered; Patients have no understanding of 2/3 of medication changes or new medications. Hospitalized patients had limited understanding of their diagnosis or treatment plans. Rounds are intense with an average of 5.5 min/round. Only 66% of the hospitals had secure messaging,communication,"Need a way to address patient questions regarding risks and concerns of a process or medication in patients who are hospitalized in order to improve quality of care, patient communication and satisfaction.",Pateints questions answered only on rounds. ,"Application for providers and patients to securely exchange messages; incorporate features of voalte; integrate nursing, social work etc. Other applications may not be secure enough. May require hardware: for patients and providers; message cap; some  messages may need to be filtered and answered by nurses; Limitations: work-life boundaries, more work for provider; access to smartphones",communication platform,"https://n.neurology.org/content/97/9/434; https://www.regenstrief.org/article/patient-portals-guidance-study; https://www.prnewswire.com/news-releases/voalte-announces-story-insight-and-uber-initiative-to-expand-care-collaboration-offerings-300178001.html; https://www.zippia.com/advice/us-smartphone-industry-statistics/#:~:text=The%20United%20States%20is%20the,2022%20being%20a%20slower%20year.",Jennifer Carson-Gonzalez
CogHealth: An innovative approach to neuropsychological testing,neuropsychological testing,"Difficult to schedule appointment with neuropsychologist due to comorbidities, age etc.
1/5 of urban communities lack access, 47% non metro lack access
Teleneurology is an option: 5 hrs time savings; $48k saved; very satisfied",testing,"Need to provide seamless neuropsychological testing access to individuals irrespective of age, socioeconomic status, mental status, distance etc. for efficient treatment and diagnosis of neuropsychological diseases","FSTAC ipad-based neuro psych testing, not FDA approved, not all providers use","Coghealth: online neuropsychological testing app with eye tracking algorithm to factor teaching and distraction, no need for proctor, guided practice, bioprofiling with tracking heart rate, mobile data",testing app,"https://pubmed.ncbi.nlm.nih.gov/29779543/; 
https://www.cureus.com/articles/18445-multidisciplinary-approach-and-outcomes-of-tele-neurology-a-review#!/ ",Jermaine Chambers
Pressure-Activated protective Cap for High-Risk Fall Patients,"Falls, TBI","Falls are secondary to seizures or stroke; Many patients do not remember events that led to fall or after the fall; 1/4 adults over 65 report falling every year; 36 millinon falls and 8 millinon injuries every year; over 200k TBI related hospitalization in 2019, and 60k deaths in 2020; 73% of post stroke patients fall in the next one year; Epileptics are several times likelier to fall",protection,A way to prevent serious traumatic brain injuries (TBI) in unwitnessed fall patients in order to decrease the rate of TBI-related hospitalizations and deaths,puffed up protective headwear; hard shell protective baseball cap with a foam interior lining; necklace that those who are at the risk of falling can wear (user presses button to alert others); Most solutions require the patient or witness;,"protective hard shell baseball cap and line it with thin pressure sensors; pressure on the sensors beyond a threshold can trigger an alert; Challenges: false alarm, way to clean the cap; ",device,"https://www.cdc.gov/traumaticbraininjury/data/index.html#:~:text=Based%20on%20the%20most%20recent,TBI%2Drelated%20deaths%20in%202020.&text=This%20represents%20more%20than%20611,TBI%2Drelated%20deaths%20per%20day; https://www.amazon.com/Ergodyne-Skullerz-8950-Safety-Black/dp/B00IZ9D172 ; https://www.amazon.com/TOPINCN-Protective-Collision-Prevention-Recovery/dp/B08BHPVRRC ; https://www.lifealert.com/ ;",Joanne Chan
Carpe Diem: Distinguishing Pseudo-seizures from Epilepsy,psychogenic non-epileptic seizures,"A patient experiencing seizures; experiencing body jerks; no loss of consciousness; EEG was normal but she experienced an event during hospital stay; diagnosed with psychogenic non elileptic seizures; Signs: forced eye closure, distractibility, protecting vital body parts, ictal stuttering; causes: stress, chronic medical conditions; 24-33% of EMU admissions; average; Seizure medication may be detrimental; cost 20k per patient",screening,We need a way to help home caretakers identify PNES in patients with epilepsy in order to decrease unnecessary hospital utilization,Home EEG devices; Neurosky mindware; Emotiv Epoc; marketed as medication device; because interpreting requires medical professionals,"Carpe Diem: motion capture system that can help caretakers characterize seizure-like episodes; it consists of a wearable motion capture device on wrist and head; smartphone app pairs with it; when activity detected, caretaker records an event in the app; app assesses patients movement for signs of psychogenic seizure; can be shared with providers",device,https://onlinelibrary.wiley.com/doi/abs/10.1111/ane.12043?casa_token=Sgd81GwBJLkAAAAA:v5yPHZKYk8b-nVr0gCYPawMpPSmfllpNyXlP26RC9sGgi3axSCSKLC22vXm49kMLauI_QCjsoxZwSICr; https://jnnp.bmj.com/content/81/7/719.short;http://what-when-how.com/acp-medicine/epilepsy-part-1/; https://n.neurology.org/content/63/3/516;  https://journals.lww.com/theneurologist/fulltext/2008/07000/Clinical_Predictors_of_Psychogenic_Nonepileptic.11.aspx?casa_token=GF68TW6O5f8AAAAA:LcuGS65vSlIXB06PmqFr_LbyWgkr2GSOKqUWlV1c2K1MLHyrrr6AlHe48mP48phUVNoMoqHwcP5NNjS_46Cd0vNY7A,Dara Naifu
The R-Eye-Flex Hammer,Neuro exam, A study: Practitioners should standardize lighting conditions to maximize measurement reliability,Diagnosis,A way to make an easy-to-use (and easy to find!) pen light to examine patients with neurological compliants to make the findings from the exam more exact and improve the provider's experience with light,"Neurologist prefer to use their phone rather than their pen light because of short battery life; Pen light is sharp, while phone light is bright at the center and fades towards the edge;",A Rye-Flex Hammer; hammer has a pen light at the end and a vibration action; more reliable light; will be difficult to lose;,device,"The most popular reflex hammer on amazon.
https://www.amazon.com/MDF-Neurological-cutaneous-superficial-Free-Parts/dp/B0012NI68M/ref=asc_df_B0012NI68M/?tag=hyprod-20&linkCode=df0&hvadid=312146429934&hvpos=&hvnetw=g&hvrand=537511897269375106&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1016367&hvtargid=pla-338771998203&th=1;
An example of combined neurological instruments
https://www.prohealthcareproducts.com/percussion-hammer-neurological-buck-combination-with-128-cps-tuning-fork-25-pack/;
Most popular neuro pen light on amazon
https://www.amazon.com/CAVN-Penlight-Doctors-Reusable-Students/dp/B07JMNCHMN/ref=zg_bs_8297412011_sccl_1/141-2473803-2991852?psc=1; https://link.springer.com/article/10.1007/s12028-018-0607-8;",Jordan Marsh
HomeSafe,"Dimentia, fall prevention, home safety",Home safety checks were conducted on a dimentia patient; Patient was working on making home safer for fall prevention; falls accounts for over $50 billion annual costs; 600k die due to falls worldwide; ,,A way to assess and actionably safe-proof a home for aging older adults in order to improve home safety and reduce the number of in-home falls,Home safety check is provided by an occupational therapist using a checklist; items are reviewed; and recommendations given; Medicare covers 65 and over;,"Home Services for Assessment and Falls Evaluation (HomeSafe); patient will record themselves performing daily activities within the home, the video will be uploaded to a server and reviewed by professionals, personalized report generated; Every video frame will be annotated for potential fall risks; Advantages: personalized, visual. May help for those not qualified under medicare; Future: could be automated using machine learning.","App, Augmented Reality",,Mai Nguyen
